2025-06-02 10:45:45.4412 INFO {"ModelName":"OnActionExecuting","Controller":"Books","Action":"GetOneBook","Id":"2","CreateAt":"2025-06-02T07:45:45.412567Z"}
2025-06-02 12:36:01.9448 INFO {"ModelName":"OnActionExecuting","Controller":"Books","Action":"GetAllBooks","Id":null,"CreateAt":"2025-06-02T09:36:01.9178771Z"}
2025-06-02 12:36:10.3143 INFO {"ModelName":"OnActionExecuting","Controller":"Books","Action":"GetAllBooks","Id":null,"CreateAt":"2025-06-02T09:36:10.3141915Z"}
2025-06-02 12:36:14.5939 INFO {"ModelName":"OnActionExecuting","Controller":"Books","Action":"GetAllBooks","Id":null,"CreateAt":"2025-06-02T09:36:14.5938349Z"}
2025-06-02 12:36:21.6755 INFO {"ModelName":"OnActionExecuting","Controller":"Books","Action":"GetAllBooks","Id":null,"CreateAt":"2025-06-02T09:36:21.6754668Z"}
2025-06-02 12:36:25.3335 INFO {"ModelName":"OnActionExecuting","Controller":"Books","Action":"GetAllBooks","Id":null,"CreateAt":"2025-06-02T09:36:25.3334597Z"}
2025-06-02 12:36:29.5327 INFO {"ModelName":"OnActionExecuting","Controller":"Books","Action":"GetAllBooks","Id":null,"CreateAt":"2025-06-02T09:36:29.5326841Z"}
2025-06-02 12:37:15.4209 INFO {"ModelName":"OnActionExecuting","Controller":"Books","Action":"GetAllBooks","Id":null,"CreateAt":"2025-06-02T09:37:15.4208603Z"}
2025-06-02 12:37:53.1620 INFO {"ModelName":"OnActionExecuting","Controller":"Books","Action":"GetAllBooks","Id":null,"CreateAt":"2025-06-02T09:37:53.161964Z"}
2025-06-02 12:38:19.0201 INFO {"ModelName":"OnActionExecuting","Controller":"Books","Action":"GetAllBooks","Id":null,"CreateAt":"2025-06-02T09:38:19.0200907Z"}
2025-06-02 12:38:34.6373 INFO {"ModelName":"OnActionExecuting","Controller":"Books","Action":"GetAllBooks","Id":null,"CreateAt":"2025-06-02T09:38:34.6372835Z"}
2025-06-02 12:38:39.9079 INFO {"ModelName":"OnActionExecuting","Controller":"Books","Action":"GetAllBooks","Id":null,"CreateAt":"2025-06-02T09:38:39.9079312Z"}
2025-06-02 12:38:51.9210 INFO {"ModelName":"OnActionExecuting","Controller":"Books","Action":"GetAllBooks","Id":null,"CreateAt":"2025-06-02T09:38:51.920999Z"}
2025-06-02 12:39:28.5527 INFO {"ModelName":"OnActionExecuting","Controller":"Books","Action":"GetAllBooks","Id":null,"CreateAt":"2025-06-02T09:39:28.5526835Z"}
2025-06-02 12:39:36.2053 INFO {"ModelName":"OnActionExecuting","Controller":"Books","Action":"GetAllBooks","Id":null,"CreateAt":"2025-06-02T09:39:36.2052937Z"}
2025-06-02 12:39:41.5816 INFO {"ModelName":"OnActionExecuting","Controller":"Books","Action":"GetAllBooks","Id":null,"CreateAt":"2025-06-02T09:39:41.5815922Z"}
2025-06-02 12:53:13.1120 INFO {"ModelName":"OnActionExecuting","Controller":"Books","Action":"GetAllBooks","Id":null,"CreateAt":"2025-06-02T09:53:13.1119007Z"}
2025-06-02 12:53:19.5523 INFO {"ModelName":"OnActionExecuting","Controller":"Books","Action":"GetAllBooks","Id":null,"CreateAt":"2025-06-02T09:53:19.5523242Z"}
2025-06-02 12:53:24.2188 INFO {"ModelName":"OnActionExecuting","Controller":"Books","Action":"GetAllBooks","Id":null,"CreateAt":"2025-06-02T09:53:24.2188022Z"}
